DATE,TITLE,REVIEW,RATING,USERNAME,HELPFUL_VOTES,REVIEW_LENGTH,PLATFORM,LANGUAGE,LOCATION,VERSION,VERIFIED_PURCHASE,CLEAN_REVIEW,SENTIMENT
2024-07-01,review title 21,"Highly satisfied, the app works exactly as expected.",4,user21,152,8,google play,zh,india,1.2.3,No,highly satisfied app work exactly expected,Positive
2024-07-01,review title 22,Poor performance and not user-friendly.,1,user22,97,5,amazon,ja,germany,5.0.3,Yes,poor performance userfriendly,Negative
2025-04-08,review title 23,Very reliable and worth using regularly.,4,user23,20,6,flipkart,ar,kenya,4.2.1,Yes,reliable worth using regularly,Positive
2025-04-08,review title 24,Poor performance and not user-friendly.,2,user24,126,5,google play,fr,qatar,2.1.4,Yes,poor performance userfriendly,Negative
2025-04-08,review title 25,"Average experience, some features could be improved.",3,user25,75,7,flipkart,fr,usa,4.2.1,Yes,average experience feature could improved,Neutral
2025-04-08,review title 26,The app is okay and does its job reasonably well.,3,user26,88,10,website,en,uk,1.2.3,Yes,app okay job reasonably well,Neutral
2025-04-08,review title 27,Amazing quality and user-friendly interface.,4,user27,43,5,flipkart,pt,kenya,3.5.6,Yes,amazing quality userfriendly interface,Positive
2025-04-08,review title 28,Poor performance and not user-friendly.,2,user28,91,5,flipkart,fr,qatar,2.1.4,No,poor performance userfriendly,Negative
2024-02-09,review title 29,The app is okay and does its job reasonably well.,3,user29,118,10,app store,fr,italy,1.2.3,No,app okay job reasonably well,Neutral
2024-02-09,review title 30,Very reliable and worth using regularly.,5,user30,127,6,google play,hi,kenya,3.5.6,No,reliable worth using regularly,Positive
2024-02-09,review title 31,"Average experience, some features could be improved.",3,user31,139,7,website,es,poland,5.0.3,No,average experience feature could improved,Neutral
2024-02-09,review title 32,"Very disappointing experience, the app crashes often.",2,user32,199,7,app store,en,germany,2.1.4,No,disappointing experience app crash often,Negative
2024-02-09,review title 33,"Average experience, some features could be improved.",3,user33,164,7,amazon,hi,germany,4.2.1,Yes,average experience feature could improved,Neutral
2024-08-06,review title 34,"Average experience, some features could be improved.",3,user34,156,7,app store,es,kenya,5.0.3,No,average experience feature could improved,Neutral
2024-08-06,review title 35,Very reliable and worth using regularly.,4,user35,65,6,amazon,de,uk,1.2.3,No,reliable worth using regularly,Positive
2024-08-06,review title 36,"Decent app, neither too good nor too bad.",3,user36,6,8,amazon,zh,italy,4.2.1,No,decent app neither good bad,Neutral
2024-08-06,review title 37,"Not satisfied, many bugs and issues.",1,user37,169,6,website,hi,nepal,5.0.3,No,satisfied many bug issue,Negative
2024-08-06,review title 38,Works fine but there is room for improvement.,3,user38,80,8,flipkart,es,germany,1.2.3,Yes,work fine room improvement,Neutral
2024-08-06,review title 39,"Great experience, smooth performance and useful features.",4,user39,20,7,flipkart,zh,usa,2.1.4,No,great experience smooth performance useful feature,Positive
2024-08-06,review title 40,"Excellent app, very easy to use and extremely helpful.",4,user40,153,9,google play,en,usa,1.2.3,Yes,excellent app easy use extremely helpful,Positive
2024-08-06,review title 41,"Very disappointing experience, the app crashes often.",2,user41,105,7,google play,fr,qatar,5.0.3,Yes,disappointing experience app crash often,Negative
2024-08-06,review title 42,Amazing quality and user-friendly interface.,5,user42,120,5,app store,es,nepal,1.2.3,No,amazing quality userfriendly interface,Positive
2024-08-06,review title 43,"Waste of time, does not meet expectations.",1,user43,105,7,flipkart,hi,usa,4.2.1,Yes,waste time meet expectation,Negative
2024-08-06,review title 44,"Highly satisfied, the app works exactly as expected.",5,user44,55,8,flipkart,pt,usa,1.2.3,No,highly satisfied app work exactly expected,Positive
2024-03-01,review title 45,Amazing quality and user-friendly interface.,4,user45,69,5,amazon,es,usa,1.2.3,Yes,amazing quality userfriendly interface,Positive
2024-03-01,review title 46,"Great experience, smooth performance and useful features.",4,user46,186,7,flipkart,fr,france,1.2.3,Yes,great experience smooth performance useful feature,Positive
2024-03-01,review title 47,Amazing quality and user-friendly interface.,4,user47,86,5,website,ar,poland,5.0.3,No,amazing quality userfriendly interface,Positive
2024-09-02,review title 48,"Not satisfied, many bugs and issues.",1,user48,87,6,website,pt,usa,3.5.6,Yes,satisfied many bug issue,Negative
2024-09-02,review title 49,Works fine but there is room for improvement.,3,user49,143,8,amazon,ar,italy,2.1.4,Yes,work fine room improvement,Neutral
2024-09-02,review title 50,Works fine but there is room for improvement.,3,user50,119,8,amazon,de,poland,5.0.3,Yes,work fine room improvement,Neutral
2024-06-01,review title 51,"Highly satisfied, the app works exactly as expected.",4,user51,41,8,app store,fr,india,4.2.1,Yes,highly satisfied app work exactly expected,Positive
2024-06-01,review title 52,The app is okay and does its job reasonably well.,3,user52,185,10,google play,fr,kenya,3.5.6,No,app okay job reasonably well,Neutral
2024-06-01,review title 53,"Excellent app, very easy to use and extremely helpful.",4,user53,12,9,google play,fr,nepal,5.0.3,Yes,excellent app easy use extremely helpful,Positive
2024-06-01,review title 54,"Very disappointing experience, the app crashes often.",1,user54,51,7,website,en,nepal,3.5.6,Yes,disappointing experience app crash often,Negative
2024-06-01,review title 55,"Decent app, neither too good nor too bad.",3,user55,186,8,google play,fr,poland,5.0.3,No,decent app neither good bad,Neutral
2024-04-09,review title 56,"Excellent app, very easy to use and extremely helpful.",4,user56,53,9,app store,es,qatar,2.1.4,No,excellent app easy use extremely helpful,Positive
2025-03-07,review title 57,"Highly satisfied, the app works exactly as expected.",4,user57,38,8,website,ja,kenya,4.2.1,Yes,highly satisfied app work exactly expected,Positive
2025-03-07,review title 58,"Waste of time, does not meet expectations.",2,user58,181,7,google play,en,kenya,5.0.3,Yes,waste time meet expectation,Negative
2025-03-07,review title 59,The app is okay and does its job reasonably well.,3,user59,108,10,app store,es,france,2.1.4,Yes,app okay job reasonably well,Neutral
2025-03-07,review title 60,Poor performance and not user-friendly.,2,user60,176,5,amazon,de,india,1.2.3,No,poor performance userfriendly,Negative
2025-03-07,review title 61,"Average experience, some features could be improved.",3,user61,100,7,flipkart,zh,france,2.1.4,No,average experience feature could improved,Neutral
2024-03-02,review title 62,"Highly satisfied, the app works exactly as expected.",4,user62,194,8,google play,es,usa,1.2.3,Yes,highly satisfied app work exactly expected,Positive
2024-03-02,review title 63,Poor performance and not user-friendly.,2,user63,25,5,google play,ja,uk,2.1.4,Yes,poor performance userfriendly,Negative
2024-03-02,review title 64,Very reliable and worth using regularly.,5,user64,49,6,google play,es,india,3.5.6,Yes,reliable worth using regularly,Positive
2024-03-02,review title 65,"Great experience, smooth performance and useful features.",4,user65,189,7,google play,hi,germany,4.2.1,No,great experience smooth performance useful feature,Positive
2024-03-07,review title 66,Poor performance and not user-friendly.,1,user66,47,5,app store,es,india,1.2.3,Yes,poor performance userfriendly,Negative
2024-03-07,review title 67,"Very disappointing experience, the app crashes often.",1,user67,44,7,flipkart,fr,usa,3.5.6,Yes,disappointing experience app crash often,Negative
2024-06-01,review title 68,Works fine but there is room for improvement.,3,user68,93,8,google play,pt,india,5.0.3,No,work fine room improvement,Neutral
2024-06-01,review title 69,"Highly satisfied, the app works exactly as expected.",4,user69,120,8,website,de,india,2.1.4,Yes,highly satisfied app work exactly expected,Positive
2024-06-01,review title 70,"Great experience, smooth performance and useful features.",4,user70,186,7,amazon,zh,nepal,3.5.6,No,great experience smooth performance useful feature,Positive
2024-06-01,review title 71,"Excellent app, very easy to use and extremely helpful.",4,user71,161,9,app store,pt,germany,1.2.3,No,excellent app easy use extremely helpful,Positive
2025-02-08,review title 72,"Very disappointing experience, the app crashes often.",2,user72,29,7,amazon,fr,kenya,1.2.3,No,disappointing experience app crash often,Negative
2025-02-08,review title 73,"Average experience, some features could be improved.",3,user73,63,7,flipkart,zh,india,2.1.4,Yes,average experience feature could improved,Neutral
2025-02-08,review title 74,"Highly satisfied, the app works exactly as expected.",4,user74,20,8,google play,ja,uk,1.2.3,No,highly satisfied app work exactly expected,Positive
2025-02-08,review title 75,Very reliable and worth using regularly.,5,user75,60,6,flipkart,ar,poland,5.0.3,No,reliable worth using regularly,Positive
2025-02-08,review title 76,Amazing quality and user-friendly interface.,5,user76,77,5,flipkart,es,poland,5.0.3,No,amazing quality userfriendly interface,Positive
2025-02-08,review title 77,"Average experience, some features could be improved.",3,user77,139,7,flipkart,zh,poland,3.5.6,Yes,average experience feature could improved,Neutral
2025-02-08,review title 78,Very reliable and worth using regularly.,5,user78,79,6,google play,en,qatar,4.2.1,No,reliable worth using regularly,Positive
2025-02-08,review title 79,"Highly satisfied, the app works exactly as expected.",5,user79,107,8,google play,es,usa,4.2.1,No,highly satisfied app work exactly expected,Positive
2025-02-08,review title 80,"Very disappointing experience, the app crashes often.",2,user80,1,7,app store,fr,italy,2.1.4,Yes,disappointing experience app crash often,Negative
2025-02-08,review title 81,"Highly satisfied, the app works exactly as expected.",4,user81,91,8,google play,pt,poland,5.0.3,Yes,highly satisfied app work exactly expected,Positive
2025-02-08,review title 82,"Terrible experience, needs major improvements.",2,user82,50,5,app store,hi,india,1.2.3,Yes,terrible experience need major improvement,Negative
2025-02-08,review title 83,"Excellent app, very easy to use and extremely helpful.",4,user83,85,9,website,ar,france,5.0.3,No,excellent app easy use extremely helpful,Positive
2025-02-08,review title 84,"Waste of time, does not meet expectations.",1,user84,106,7,google play,en,usa,5.0.3,Yes,waste time meet expectation,Negative
2025-02-08,review title 85,"Excellent app, very easy to use and extremely helpful.",5,user85,196,9,website,ja,usa,5.0.3,No,excellent app easy use extremely helpful,Positive
2025-05-09,review title 86,Very reliable and worth using regularly.,5,user86,136,6,google play,pt,italy,1.2.3,Yes,reliable worth using regularly,Positive
2025-05-09,review title 87,"Average experience, some features could be improved.",3,user87,187,7,amazon,pt,usa,5.0.3,No,average experience feature could improved,Neutral
2025-05-09,review title 88,"Waste of time, does not meet expectations.",1,user88,194,7,website,de,italy,4.2.1,Yes,waste time meet expectation,Negative
2025-05-09,review title 89,"Terrible experience, needs major improvements.",2,user89,144,5,flipkart,ar,usa,4.2.1,Yes,terrible experience need major improvement,Negative
2025-05-09,review title 90,"Highly satisfied, the app works exactly as expected.",5,user90,83,8,amazon,es,uk,1.2.3,No,highly satisfied app work exactly expected,Positive
2024-02-07,review title 91,"Waste of time, does not meet expectations.",2,user91,26,7,amazon,en,poland,1.2.3,No,waste time meet expectation,Negative
2024-02-07,review title 92,"Highly satisfied, the app works exactly as expected.",5,user92,160,8,website,fr,kenya,5.0.3,Yes,highly satisfied app work exactly expected,Positive
2025-05-03,review title 93,"Excellent app, very easy to use and extremely helpful.",5,user93,196,9,amazon,ja,france,3.5.6,No,excellent app easy use extremely helpful,Positive
2025-05-03,review title 94,"Waste of time, does not meet expectations.",1,user94,63,7,website,pt,india,4.2.1,Yes,waste time meet expectation,Negative
2025-05-03,review title 95,"Very disappointing experience, the app crashes often.",2,user95,132,7,amazon,hi,kenya,2.1.4,Yes,disappointing experience app crash often,Negative
2025-05-03,review title 96,Very reliable and worth using regularly.,4,user96,170,6,flipkart,pt,india,1.2.3,No,reliable worth using regularly,Positive
2025-02-04,review title 97,"Terrible experience, needs major improvements.",1,user97,79,5,flipkart,ar,kenya,1.2.3,Yes,terrible experience need major improvement,Negative
2025-02-04,review title 98,Very reliable and worth using regularly.,4,user98,71,6,amazon,pt,qatar,5.0.3,No,reliable worth using regularly,Positive
2025-02-04,review title 99,"Not bad, but updates are needed for better performance.",3,user99,147,9,flipkart,en,france,5.0.3,No,bad update needed better performance,Neutral
2025-02-04,review title 100,"Excellent app, very easy to use and extremely helpful.",5,user100,111,9,website,en,india,4.2.1,Yes,excellent app easy use extremely helpful,Positive
2025-05-02,review title 101,"Terrible experience, needs major improvements.",2,user101,83,5,flipkart,pt,germany,5.0.3,No,terrible experience need major improvement,Negative
2025-05-02,review title 102,"Waste of time, does not meet expectations.",2,user102,175,7,app store,zh,germany,1.2.3,No,waste time meet expectation,Negative
2025-05-02,review title 103,Works fine but there is room for improvement.,3,user103,171,8,google play,es,germany,4.2.1,No,work fine room improvement,Neutral
2025-05-02,review title 104,"Great experience, smooth performance and useful features.",4,user104,120,7,google play,pt,usa,4.2.1,No,great experience smooth performance useful feature,Positive
2025-05-02,review title 105,Works fine but there is room for improvement.,3,user105,136,8,flipkart,fr,germany,5.0.3,Yes,work fine room improvement,Neutral
2025-05-02,review title 106,"Terrible experience, needs major improvements.",1,user106,17,5,app store,fr,uk,3.5.6,No,terrible experience need major improvement,Negative
2025-05-02,review title 107,"Terrible experience, needs major improvements.",2,user107,77,5,google play,en,india,3.5.6,Yes,terrible experience need major improvement,Negative
2025-05-02,review title 108,"Not satisfied, many bugs and issues.",1,user108,38,6,amazon,ja,germany,2.1.4,Yes,satisfied many bug issue,Negative
2024-04-03,review title 109,The app is okay and does its job reasonably well.,3,user109,90,10,google play,zh,uk,5.0.3,No,app okay job reasonably well,Neutral
2025-05-04,review title 110,"Great experience, smooth performance and useful features.",4,user110,3,7,amazon,hi,qatar,3.5.6,No,great experience smooth performance useful feature,Positive
2025-05-04,review title 111,"Terrible experience, needs major improvements.",2,user111,174,5,amazon,hi,italy,4.2.1,No,terrible experience need major improvement,Negative
2025-05-04,review title 112,Poor performance and not user-friendly.,2,user112,129,5,amazon,fr,nepal,1.2.3,No,poor performance userfriendly,Negative
2024-07-02,review title 113,"Very disappointing experience, the app crashes often.",2,user113,136,7,amazon,en,usa,5.0.3,No,disappointing experience app crash often,Negative
2025-02-01,review title 114,"Great experience, smooth performance and useful features.",5,user114,180,7,website,fr,uk,2.1.4,No,great experience smooth performance useful feature,Positive
2025-04-04,review title 115,"Waste of time, does not meet expectations.",2,user115,75,7,amazon,ja,poland,2.1.4,No,waste time meet expectation,Negative
2025-04-04,review title 116,"Average experience, some features could be improved.",3,user116,106,7,flipkart,en,kenya,5.0.3,Yes,average experience feature could improved,Neutral
2025-04-04,review title 117,"Highly satisfied, the app works exactly as expected.",5,user117,86,8,app store,de,qatar,4.2.1,No,highly satisfied app work exactly expected,Positive
2025-04-04,review title 118,Poor performance and not user-friendly.,2,user118,176,5,google play,de,italy,3.5.6,No,poor performance userfriendly,Negative
2024-07-03,review title 119,Amazing quality and user-friendly interface.,5,user119,78,5,google play,fr,france,1.2.3,No,amazing quality userfriendly interface,Positive
2024-07-03,review title 120,Very reliable and worth using regularly.,4,user120,200,6,flipkart,de,poland,4.2.1,No,reliable worth using regularly,Positive
2024-02-07,review title 121,"Waste of time, does not meet expectations.",1,user121,115,7,website,ja,kenya,4.2.1,No,waste time meet expectation,Negative
2024-02-01,review title 122,"Not bad, but updates are needed for better performance.",3,user122,26,9,app store,ar,poland,1.2.3,Yes,bad update needed better performance,Neutral
2024-02-01,review title 123,"Decent app, neither too good nor too bad.",3,user123,120,8,amazon,de,usa,3.5.6,Yes,decent app neither good bad,Neutral
2025-02-02,review title 124,"Not bad, but updates are needed for better performance.",3,user124,178,9,google play,en,nepal,4.2.1,Yes,bad update needed better performance,Neutral
2025-02-02,review title 125,The app is okay and does its job reasonably well.,3,user125,15,10,flipkart,zh,uk,1.2.3,Yes,app okay job reasonably well,Neutral
2025-02-02,review title 126,"Excellent app, very easy to use and extremely helpful.",4,user126,106,9,google play,zh,italy,2.1.4,No,excellent app easy use extremely helpful,Positive
2025-02-02,review title 127,"Terrible experience, needs major improvements.",1,user127,90,5,website,zh,qatar,1.2.3,Yes,terrible experience need major improvement,Negative
2025-02-02,review title 128,"Not bad, but updates are needed for better performance.",3,user128,185,9,amazon,de,uk,1.2.3,No,bad update needed better performance,Neutral
2025-03-03,review title 129,"Terrible experience, needs major improvements.",1,user129,121,5,website,hi,italy,5.0.3,No,terrible experience need major improvement,Negative
2025-03-03,review title 130,The app is okay and does its job reasonably well.,3,user130,193,10,amazon,hi,germany,3.5.6,No,app okay job reasonably well,Neutral
2025-01-02,review title 131,Very reliable and worth using regularly.,5,user131,170,6,google play,ar,kenya,3.5.6,No,reliable worth using regularly,Positive
2025-04-09,review title 132,"Average experience, some features could be improved.",3,user132,3,7,flipkart,ja,germany,4.2.1,Yes,average experience feature could improved,Neutral
2025-04-09,review title 133,Very reliable and worth using regularly.,4,user133,103,6,app store,en,nepal,1.2.3,Yes,reliable worth using regularly,Positive
2025-04-09,review title 134,"Terrible experience, needs major improvements.",2,user134,199,5,app store,ja,qatar,3.5.6,Yes,terrible experience need major improvement,Negative
2025-04-09,review title 135,"Very disappointing experience, the app crashes often.",2,user135,146,7,website,de,nepal,3.5.6,No,disappointing experience app crash often,Negative
2024-07-08,review title 136,"Average experience, some features could be improved.",3,user136,69,7,app store,pt,france,1.2.3,No,average experience feature could improved,Neutral
2024-07-08,review title 137,"Highly satisfied, the app works exactly as expected.",5,user137,43,8,website,fr,nepal,3.5.6,Yes,highly satisfied app work exactly expected,Positive
2024-07-08,review title 138,"Very disappointing experience, the app crashes often.",1,user138,25,7,app store,de,kenya,1.2.3,No,disappointing experience app crash often,Negative
2024-02-04,review title 139,"Excellent app, very easy to use and extremely helpful.",5,user139,25,9,amazon,pt,poland,5.0.3,Yes,excellent app easy use extremely helpful,Positive
2024-02-04,review title 140,"Waste of time, does not meet expectations.",1,user140,107,7,website,zh,usa,4.2.1,Yes,waste time meet expectation,Negative
2024-01-02,review title 141,"Not satisfied, many bugs and issues.",2,user141,136,6,amazon,hi,poland,4.2.1,Yes,satisfied many bug issue,Negative
2024-05-08,review title 142,"Excellent app, very easy to use and extremely helpful.",5,user142,20,9,app store,hi,india,4.2.1,No,excellent app easy use extremely helpful,Positive
2024-05-08,review title 143,Poor performance and not user-friendly.,1,user143,8,5,google play,en,nepal,2.1.4,No,poor performance userfriendly,Negative
2024-05-08,review title 144,"Waste of time, does not meet expectations.",2,user144,78,7,app store,ar,germany,3.5.6,No,waste time meet expectation,Negative
2024-05-08,review title 145,Very reliable and worth using regularly.,5,user145,186,6,amazon,ar,nepal,5.0.3,No,reliable worth using regularly,Positive
2024-05-08,review title 146,"Terrible experience, needs major improvements.",1,user146,200,5,website,ar,germany,1.2.3,Yes,terrible experience need major improvement,Negative
2024-05-08,review title 147,"Average experience, some features could be improved.",3,user147,126,7,flipkart,ar,kenya,2.1.4,No,average experience feature could improved,Neutral
2024-06-08,review title 148,Amazing quality and user-friendly interface.,4,user148,9,5,website,hi,france,5.0.3,No,amazing quality userfriendly interface,Positive
2024-06-08,review title 149,"Very disappointing experience, the app crashes often.",2,user149,17,7,flipkart,ar,france,4.2.1,No,disappointing experience app crash often,Negative
2024-06-08,review title 150,"Not satisfied, many bugs and issues.",2,user150,189,6,google play,hi,kenya,2.1.4,Yes,satisfied many bug issue,Negative
2024-06-08,review title 151,"Not satisfied, many bugs and issues.",2,user151,49,6,website,ja,nepal,3.5.6,No,satisfied many bug issue,Negative
2024-06-08,review title 152,Very reliable and worth using regularly.,4,user152,149,6,amazon,ar,france,3.5.6,No,reliable worth using regularly,Positive
2024-06-08,review title 153,"Highly satisfied, the app works exactly as expected.",4,user153,163,8,app store,de,qatar,5.0.3,Yes,highly satisfied app work exactly expected,Positive
2024-06-08,review title 154,Works fine but there is room for improvement.,3,user154,113,8,amazon,es,poland,2.1.4,Yes,work fine room improvement,Neutral
2024-01-03,review title 155,"Waste of time, does not meet expectations.",2,user155,147,7,google play,pt,poland,2.1.4,Yes,waste time meet expectation,Negative
2024-01-03,review title 156,"Excellent app, very easy to use and extremely helpful.",5,user156,186,9,google play,pt,germany,5.0.3,No,excellent app easy use extremely helpful,Positive
2024-01-03,review title 157,Works fine but there is room for improvement.,3,user157,84,8,amazon,es,poland,2.1.4,Yes,work fine room improvement,Neutral
2024-01-03,review title 158,Poor performance and not user-friendly.,1,user158,87,5,google play,en,italy,1.2.3,No,poor performance userfriendly,Negative
2024-02-06,review title 159,"Terrible experience, needs major improvements.",1,user159,155,5,google play,hi,france,2.1.4,No,terrible experience need major improvement,Negative
2024-02-06,review title 160,Poor performance and not user-friendly.,1,user160,6,5,google play,ja,usa,2.1.4,No,poor performance userfriendly,Negative
2024-02-06,review title 161,"Highly satisfied, the app works exactly as expected.",4,user161,98,8,flipkart,ja,kenya,1.2.3,No,highly satisfied app work exactly expected,Positive
2024-02-06,review title 162,"Highly satisfied, the app works exactly as expected.",4,user162,148,8,flipkart,fr,kenya,2.1.4,Yes,highly satisfied app work exactly expected,Positive
2024-02-06,review title 163,"Average experience, some features could be improved.",3,user163,125,7,amazon,de,usa,1.2.3,Yes,average experience feature could improved,Neutral
2024-02-06,review title 164,"Not satisfied, many bugs and issues.",1,user164,197,6,website,de,nepal,5.0.3,No,satisfied many bug issue,Negative
2024-02-06,review title 165,Very reliable and worth using regularly.,5,user165,17,6,app store,de,germany,4.2.1,No,reliable worth using regularly,Positive
2024-02-06,review title 166,"Waste of time, does not meet expectations.",2,user166,177,7,flipkart,hi,nepal,1.2.3,No,waste time meet expectation,Negative
2024-02-06,review title 167,"Average experience, some features could be improved.",3,user167,163,7,flipkart,en,kenya,5.0.3,Yes,average experience feature could improved,Neutral
2024-02-06,review title 168,"Very disappointing experience, the app crashes often.",2,user168,44,7,website,de,kenya,3.5.6,Yes,disappointing experience app crash often,Negative
2024-02-06,review title 169,"Very disappointing experience, the app crashes often.",2,user169,16,7,flipkart,zh,germany,3.5.6,No,disappointing experience app crash often,Negative
2025-05-08,review title 170,Amazing quality and user-friendly interface.,4,user170,71,5,amazon,zh,kenya,5.0.3,No,amazing quality userfriendly interface,Positive
2024-02-06,review title 171,"Terrible experience, needs major improvements.",2,user171,135,5,flipkart,zh,uk,2.1.4,No,terrible experience need major improvement,Negative
2024-02-06,review title 172,"Waste of time, does not meet expectations.",2,user172,163,7,amazon,fr,poland,4.2.1,Yes,waste time meet expectation,Negative
2024-02-06,review title 173,"Not satisfied, many bugs and issues.",1,user173,56,6,website,hi,poland,4.2.1,No,satisfied many bug issue,Negative
2024-02-06,review title 174,"Not satisfied, many bugs and issues.",1,user174,166,6,flipkart,fr,usa,4.2.1,Yes,satisfied many bug issue,Negative
2024-02-06,review title 175,Poor performance and not user-friendly.,2,user175,107,5,website,ja,kenya,5.0.3,No,poor performance userfriendly,Negative
2024-02-06,review title 176,"Highly satisfied, the app works exactly as expected.",5,user176,75,8,app store,zh,germany,2.1.4,Yes,highly satisfied app work exactly expected,Positive
2024-02-06,review title 177,"Not satisfied, many bugs and issues.",2,user177,31,6,google play,en,uk,4.2.1,No,satisfied many bug issue,Negative
2024-02-06,review title 178,"Excellent app, very easy to use and extremely helpful.",5,user178,76,9,flipkart,de,italy,2.1.4,No,excellent app easy use extremely helpful,Positive
2024-02-06,review title 179,Amazing quality and user-friendly interface.,4,user179,6,5,google play,de,poland,5.0.3,No,amazing quality userfriendly interface,Positive
2024-02-06,review title 180,Very reliable and worth using regularly.,4,user180,16,6,flipkart,es,usa,1.2.3,Yes,reliable worth using regularly,Positive
2024-02-06,review title 181,"Highly satisfied, the app works exactly as expected.",4,user181,143,8,app store,es,qatar,1.2.3,Yes,highly satisfied app work exactly expected,Positive
2024-02-06,review title 182,"Highly satisfied, the app works exactly as expected.",5,user182,6,8,website,fr,nepal,1.2.3,Yes,highly satisfied app work exactly expected,Positive
2024-02-06,review title 183,Very reliable and worth using regularly.,5,user183,170,6,flipkart,ja,usa,5.0.3,No,reliable worth using regularly,Positive
2025-04-02,review title 184,"Waste of time, does not meet expectations.",2,user184,151,7,website,zh,usa,1.2.3,No,waste time meet expectation,Negative
2025-04-02,review title 185,"Waste of time, does not meet expectations.",2,user185,36,7,amazon,ja,india,2.1.4,No,waste time meet expectation,Negative
2025-02-01,review title 186,"Not satisfied, many bugs and issues.",1,user186,139,6,website,hi,kenya,2.1.4,No,satisfied many bug issue,Negative
2024-09-07,review title 187,"Very disappointing experience, the app crashes often.",2,user187,43,7,app store,fr,usa,4.2.1,No,disappointing experience app crash often,Negative
2024-07-02,review title 188,"Not satisfied, many bugs and issues.",2,user188,122,6,flipkart,ja,qatar,3.5.6,No,satisfied many bug issue,Negative
2024-07-02,review title 189,"Great experience, smooth performance and useful features.",4,user189,173,7,flipkart,en,india,4.2.1,Yes,great experience smooth performance useful feature,Positive
2024-07-02,review title 190,Amazing quality and user-friendly interface.,5,user190,36,5,app store,zh,kenya,4.2.1,No,amazing quality userfriendly interface,Positive
2024-07-02,review title 191,"Terrible experience, needs major improvements.",2,user191,121,5,flipkart,es,kenya,1.2.3,Yes,terrible experience need major improvement,Negative
2024-07-02,review title 192,"Average experience, some features could be improved.",3,user192,177,7,app store,zh,france,1.2.3,Yes,average experience feature could improved,Neutral
2024-03-01,review title 193,"Great experience, smooth performance and useful features.",4,user193,60,7,flipkart,pt,germany,2.1.4,Yes,great experience smooth performance useful feature,Positive
